Title,Industry,Converted,Business Type,Lead Type,Product.,Lead Status,Lead Source,Secondary Lead Source
VP New Product Development & Postal Affairs,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Partner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
President at Cobalt Capital Inc,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director Wealth Mgmt Sales,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Assistant Section manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Chief Information Security Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President & CEO,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Managing Partner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
******,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Manager Account Services,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Sr. Director,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Technical Sales Representative at Commercail Truck Equipment Co.,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Mail Services Supervisor,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Information Technology Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
VP Solutions Group,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Administrative Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Coordonnateur chez Commission scolaire Pierre-Neveu,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Technology Officer,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
--,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Creative Services Director,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Project Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Assistante à la direction at Fondation du cégep du Vieux Montreal,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Others,0,Services,Enterprise (End User),Infrascale Appliance,Suspect,India,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Owner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
